,subject,id,author,date,time,content,clean_content,refs,urls,classification
8810,boymoder bachelorette,34684336,Anonymous,2/16/2024,2:04:02,">>34684174You speak tough truths anon. I acknowledge that I am stuck in my defenses, but I have no desire to get free. Asking my friend if I will be a problem is a good idea>>34684196> go to a sephora or ulta near you and have them do your makeup for youMakeup simply will not save me. I tried it before and it just makes me look more manly. Also this is a multi day thing where we're all staying together in a rental so logistically that would be hard>>34684199>ok but how does the thought of being a MAN who everyone has to pretend is a WOMAN at a BRIDESMAID bachelorETTE party not make you want to throw up more?No yeah that also makes me want to throw up, and that is why I'm here in the first place>>34684211I think the truth is that the other women attending are going to see me as the weirdest tranny they've ever laid eyes on and there's just no way I can avoid that>>34684154>just dykemode thenHmmm this might actually be plausible","
You speak tough truths anon. I acknowledge that I am stuck in my defenses, but I have no desire to get free. Asking my friend if I will be a problem is a good idea
> go to a sephora or ulta near you and have them do your makeup for youMakeup simply will not save me. I tried it before and it just makes me look more manly. Also this is a multi day thing where we're all staying together in a rental so logistically that would be hard
>ok but how does the thought of being a MAN who everyone has to pretend is a WOMAN at a BRIDESMAID bachelorETTE party not make you want to throw up more?No yeah that also makes me want to throw up, and that is why I'm here in the first place
I think the truth is that the other women attending are going to see me as the weirdest tranny they've ever laid eyes on and there's just no way I can avoid that
>just dykemode thenHmmm this might actually be plausible","['>>34684174', '>>34684196', '>>34684199', '>>34684211', '>>34684154']",[],1
8156,non-monogamy,34683782,Anonymous,2/16/2024,0:26:59,>>34683650>i feel like a retarded woman who just wants to be specialthat's because you are,"
>i feel like a retarded woman who just wants to be specialthat's because you are",['>>34683650'],[],1
10059,Messed up fetishes,34685247,Anonymous,2/16/2024,4:59:15,>>34685227I am actually an FTM.,"
I am actually an FTM.",['>>34685227'],[],1
1999,post suicide fuel,34679346,Anonymous,2/15/2024,18:01:34,">>34678536>>34678577What the fuck you guys. I'm so sorry these stories cut so deep. I remember finally getting out of abuse hell and getting my foot in the door at someplace that actually paid a decent wage and it was like the whole world opened up. We're all going to make it, ok?","

What the fuck you guys. I'm so sorry these stories cut so deep. I remember finally getting out of abuse hell and getting my foot in the door at someplace that actually paid a decent wage and it was like the whole world opened up. We're all going to make it, ok?","['>>34678536', '>>34678577']",[],0
5288,/ftmg/ - literally me edition,34681123,Anonymous,2/15/2024,20:20:25,">>34681035no. a sexy man>>34681038you've seen me before, in your thoughts and dreams>>34681053if you were also me, yes.","
no. a sexy man
you've seen me before, in your thoughts and dreams
if you were also me, yes.","['>>34681035', '>>34681038', '>>34681053']",[],0
1701,/frengen/ - menhera edition,34613929,Anonymous,2/10/2024,18:44:34,>>34613663its the path of least conflict,"
its the path of least conflict",['>>34613663'],[],0
8941,/gaygen/ thousand top stare ed(...),34684666,Anonymous,2/16/2024,2:58:20,>>34684661lol,"
lol",['>>34684661'],[],0
18718,/gaygen/ - bottoms edition,34694441,Anonymous,2/16/2024,21:02:17,>>34694427im too lazy to look up archives but um you canI guess he does post on fa doesn't he>>34694342my point is simply when you see a lot of transition timelines the after is literally them wearing a crop top and short shorts because thats womanmodei think it usually looks tacky but most of you are probably retarded and/or non-white so you don't know any better anyways,"
im too lazy to look up archives but um you canI guess he does post on fa doesn't he
my point is simply when you see a lot of transition timelines the after is literally them wearing a crop top and short shorts because thats womanmodei think it usually looks tacky but most of you are probably retarded and/or non-white so you don't know any better anyways","['>>34694427', '>>34694342']",[],1
10281,you DO know how to cum from ni(...),34686229,Anonymous,2/16/2024,7:58:00,>>34686222Has anyone ever sucked on your nipples before?,"
Has anyone ever sucked on your nipples before?",['>>34686222'],[],0
11637,34687618,34687781,Anonymous,2/16/2024,11:20:57,">>34687682Yes I’m mtf.>>34687756Mine are very sensitive. I can’t cum from it or anything but it’s a unique, intense sensation that almost hurts but in the best way","
Yes I’m mtf.
Mine are very sensitive. I can’t cum from it or anything but it’s a unique, intense sensation that almost hurts but in the best way","['>>34687682', '>>34687756']",[],1
1546,music thread,34679958,Anonymous,2/15/2024,18:46:04,>>34679018>>34679947stop being lazy!!,"

stop being lazy!!","['>>34679018', '>>34679947']",[],0
7764,34511563,34683160,Anonymous,2/15/2024,23:13:58,>>34511563im buying a binder so i can manmoder harder. does that count?>>34682423:(,"
im buying a binder so i can manmoder harder. does that count?
:(","['>>34511563', '>>34682423']",[],1
2186,/mmg/-manmoder general,34673810,Anonymous,2/15/2024,10:45:38,">>34673752Im probably lying to myself about repping to 50, Im in the same boat. I was definitely gonna kill myself earlier by repping. I'm just so infuriated I started so late. Some random tranny told me I would never make it when I was 15 and I was so heartbroken and I ended up repping til 25. I hope she ACKs and burns in hell, and I hope I meet her so I can help torture her down there.","
Im probably lying to myself about repping to 50, Im in the same boat. I was definitely gonna kill myself earlier by repping. I'm just so infuriated I started so late. Some random tranny told me I would never make it when I was 15 and I was so heartbroken and I ended up repping til 25. I hope she ACKs and burns in hell, and I hope I meet her so I can help torture her down there.",['>>34673752'],[],1
3217,/gaygen/,34679226,NewGuy,2/15/2024,17:52:44,>>34679069is that hair loss shit? i have thick as fuck hair and no history of hair loss in my family im safe.,"
is that hair loss shit? i have thick as fuck hair and no history of hair loss in my family im safe.",['>>34679069'],[],0
11591,34687616,34687677,Anonymous,2/16/2024,11:11:00,>>34687616this is a cis woman,"
this is a cis woman",['>>34687616'],[],1
14720,/ftmg/ - tranny hater edition,34690398,Anonymous,2/16/2024,15:18:33,">>34690273bipedos and trenders not hooking up because they're socially icky to their exact opposite counterpart is hilariousyou say exactly the same things but you'll reject each other totally because ""ew trender"" and ""ew polchud""it's unsurprising you reject a mirror of yourself though, both are heavily repressed and hate being faced with who you've chosen to be","
bipedos and trenders not hooking up because they're socially icky to their exact opposite counterpart is hilariousyou say exactly the same things but you'll reject each other totally because ""ew trender"" and ""ew polchud""it's unsurprising you reject a mirror of yourself though, both are heavily repressed and hate being faced with who you've chosen to be",['>>34690273'],[],1
4241,wwyd?,34678031,Anonymous,2/15/2024,16:18:28,>>34678013Is that Rachel McAdams,"
Is that Rachel McAdams",['>>34678013'],[],1
3759,34676204,34677389,Anonymous,2/15/2024,15:34:19,>>34676204>Is it malebrained to use the n word?yeah. women are usually left leaning and if they find out you're racist they will view you as a freak and weird.,"
>Is it malebrained to use the n word?yeah. women are usually left leaning and if they find out you're racist they will view you as a freak and weird.",['>>34676204'],[],1
928,34671626,34671626,Anonymous,2/15/2024,4:41:44,Youtubers you think are trooning >gay baker>all a sudden has those tiny earrings you get when you just pierce your ears>hair longer than usual>skin clearer >eyes bigger >eyelashes bigger Calling this person transitioning https://youtube.com/shorts/2Hm1cAd7uKs?si=yMR4iKlZ0zGzRYkV,Youtubers you think are trooning >gay baker>all a sudden has those tiny earrings you get when you just pierce your ears>hair longer than usual>skin clearer >eyes bigger >eyelashes bigger Calling this person transitioning https://youtube.com/shorts/2Hm1cAd7uKs?si=yMR4iKlZ0zGzRYkV,[],['/shorts/2Hm1cAd7uKs?si=yMR4iKlZ0zGzRYkV'],1
16114,34689907,34692108,Anonymous,2/16/2024,17:32:56,>>34691460I want to add I feel bad because I have no friends and my biggest (unrealized) fear is my family abandoning me.,"
I want to add I feel bad because I have no friends and my biggest (unrealized) fear is my family abandoning me.",['>>34691460'],[],0
3361,34677195,34677229,Anonymous,2/15/2024,15:23:53,>>34677195>implying you're having sex at all,"
>implying you're having sex at all",['>>34677195'],[],1
14000,/Chasergen/ - Art Edition,34689611,Anonymous,2/16/2024,14:06:43,>>34689598WHAT ARE YOU LAUGHING AT!!,"
WHAT ARE YOU LAUGHING AT!!",['>>34689598'],[],0
12530,/Chasergen/ - Art Edition,34687293,Anonymous,2/16/2024,10:30:30,>>34686102>>34686338>>34687078Chaser hereI need fat trans cheeks to survive please post,"


Chaser hereI need fat trans cheeks to survive please post","['>>34686102', '>>34686338', '>>34687078']",[],1
16560,hell(p),34693110,,2/16/2024,18:59:01,>>34689252>5'11yeah i would rep and cope with hypermasculinity and drugs tbhon,"
>5'11yeah i would rep and cope with hypermasculinity and drugs tbhon",['>>34689252'],[],1
10198,34685493,34685734,sage,2/16/2024,6:40:07,>>34685707see this is how I know it's a larp threadyou would have posted pictures from the get go,"
see this is how I know it's a larp threadyou would have posted pictures from the get go",['>>34685707'],[],0
13230,34687106,34688881,Anonymous,2/16/2024,13:03:15,I need to lick the sweat off an unwashed boymoder t. chaser,I need to lick the sweat off an unwashed boymoder t. chaser,[],[],1
16727,chasergen,34691920,Anonymous,2/16/2024,17:17:59,>>34691895idk who that is but anyway here is my ugly mugcc/album#H5OTAPRUMCOA,"
idk who that is but anyway here is my ugly mugcc/album#H5OTAPRUMCOA",['>>34691895'],[],0
852,/repgen/ - valentine's day edi(...),34677963,Anonymous,2/15/2024,16:13:09,">>34677897Im not trans, just a male using estrogen","
Im not trans, just a male using estrogen",['>>34677897'],[],1
8323,34683800,34684038,Anonymous,2/16/2024,1:13:28,>>34684031yea I'm not a tranner tho if that's what you're after lol,"
yea I'm not a tranner tho if that's what you're after lol",['>>34684031'],[],1
3173,/gaygen/,34678934,Anonymous,2/15/2024,17:34:08,"British men are a divine mix of testosterone, masculinity and elegance","British men are a divine mix of testosterone, masculinity and elegance",[],[],0
18895,Can trans women sing?,34695015,Anonymous,2/16/2024,22:08:56,>>34688888Is this fucking real i caaaant.,"
Is this fucking real i caaaant.",['>>34688888'],[],0
3824,/hrtgen/ - HRT General - #640,34638993,Anonymous,2/12/2024,17:22:21,"how do i suppress my libido completely? i've been on hrt for nearly 18 months now, started injections 6 months ago, and my libido is coming back pretty strongly. i tested my t and my dht and both were suppressed, so i can only assume that my body has become used to estrogen or something and accepted it as my primary sex hormone. the issue is that i hate it, and i sometimes wake up semi hard or even hard, which i honestly can't explain but it's a terrible way to start the day. i've heard cypro can kill libido and your dick's functionality, but i'm an amerifag and get my hrt through a clinic, so i don't have cypro available.","how do i suppress my libido completely? i've been on hrt for nearly 18 months now, started injections 6 months ago, and my libido is coming back pretty strongly. i tested my t and my dht and both were suppressed, so i can only assume that my body has become used to estrogen or something and accepted it as my primary sex hormone. the issue is that i hate it, and i sometimes wake up semi hard or even hard, which i honestly can't explain but it's a terrible way to start the day. i've heard cypro can kill libido and your dick's functionality, but i'm an amerifag and get my hrt through a clinic, so i don't have cypro available.",[],[],1
8562,34683585,34683844,Anonymous,2/16/2024,0:37:42,">>34683805>she probably had a stable upbringingshe absolutely doesn't and that's why i want her to be one. she was neglected, traumatized, forced to grow up WAY too fast. it clearly fucks with her but it's like she's terrified of letting herself be ""weak"" ever. i want her to be able to let go of all that, at least for a little bit, and just let herself feel safe and cared for and be as needy and helpless as she wants. she's so high-strung all the time and it's going to kill her at this rate","
>she probably had a stable upbringingshe absolutely doesn't and that's why i want her to be one. she was neglected, traumatized, forced to grow up WAY too fast. it clearly fucks with her but it's like she's terrified of letting herself be ""weak"" ever. i want her to be able to let go of all that, at least for a little bit, and just let herself feel safe and cared for and be as needy and helpless as she wants. she's so high-strung all the time and it's going to kill her at this rate",['>>34683805'],[],0
4346,34676752,34677564,Anonymous,2/15/2024,15:45:23,>>34677201spoken like someone who didn't get to see the account before it was deleted,"
spoken like someone who didn't get to see the account before it was deleted",['>>34677201'],[],0
5498,34679228,34680141,Anonymous,2/15/2024,18:59:17,">>34679802>at the very least for the love of god please look at how women style jeansthey try to emphasize the hips that they have since they are female, which would be a terrible idea for me to do unless i was specifically trying to be read as a tranny faggot freak","
>at the very least for the love of god please look at how women style jeansthey try to emphasize the hips that they have since they are female, which would be a terrible idea for me to do unless i was specifically trying to be read as a tranny faggot freak",['>>34679802'],[],1
989,34675747,34677434,Anonymous,2/15/2024,15:37:19,>>34677425fat pussies are based,"
fat pussies are based",['>>34677425'],[],0
13249,/ftmg/ - tranny hater edition,34688591,Anonymous,2/16/2024,12:31:43,>>34688582she’s giving into her rapehon urges,"
she’s giving into her rapehon urges",['>>34688582'],[],1
13343,How pretty do you need to get (...),34689440,Anonymous,2/16/2024,13:51:03,>>34689321I’m fucking seethin He put this on his insta page and sent me it in DM,"
I’m fucking seethin He put this on his insta page and sent me it in DM",['>>34689321'],[],0
13874,34688742,34689624,Anonymous,2/16/2024,14:07:32,>>34688742imagine starting hrt at 14 and still be a twinkhon kek,"
imagine starting hrt at 14 and still be a twinkhon kek",['>>34688742'],[],1
6774,34682951,34682980,Anonymous,2/15/2024,22:53:53,>>34682960>wmamwhat did i troon out for then :^(,"
>wmamwhat did i troon out for then :^(",['>>34682960'],[],1
12622,/Chasergen/ - Art Edition,34688559,Luna,2/16/2024,12:28:40,">>34688537actually fuck yeah honestlywhat style? im kinda using spruce stone and cherry right nowi think i could work with thatim gonna do that now anon thank you>>34688543yeah i dont get aromantic peepsdont you want to be with someone?see im already confused, just stay cute","
actually fuck yeah honestlywhat style? im kinda using spruce stone and cherry right nowi think i could work with thatim gonna do that now anon thank you
yeah i dont get aromantic peepsdont you want to be with someone?see im already confused, just stay cute","['>>34688537', '>>34688543']",[],0
13679,/Passgen/ 40 year old twinkhon(...),34689664,Anonymous,2/16/2024,14:11:09,>>34689426cringeass thirst trap hope you die,"
cringeass thirst trap hope you die",['>>34689426'],[],1
15408,/gaygen/ - canada edition,34690884,Anonymous,2/16/2024,15:54:19,>>34690848they're both sidechads,"
they're both sidechads",['>>34690848'],[],0
10510,/gaygen/ thousand top stare ed(...),34685652,Anonymous,2/16/2024,6:25:56,>>34685647prove it,"
prove it",['>>34685647'],[],0
17876,How to test myself to see if I(...),34693847,Anonymous,2/16/2024,20:04:17,>>34693277i feel seen,"
i feel seen",['>>34693277'],[],0
952,34671626,34675850,Anonymous,2/15/2024,13:51:41,"starpowerdrummer AKA russel holzman AKA caroline polachek's drummer, tiktokker obsessed with dnb>>34673251alice avizandum???","starpowerdrummer AKA russel holzman AKA caroline polachek's drummer, tiktokker obsessed with dnb
alice avizandum???",['>>34673251'],[],0
2930,34672769,34674817,lagoloaf,2/15/2024,12:28:35,">>34674781Probably hung out around you, if she does.","
Probably hung out around you, if she does.",['>>34674781'],[],0
11142,/gaygen/ - rugby players editi(...),34686700,Anonymous,2/16/2024,9:11:03,whats wrong with incelposting,whats wrong with incelposting,[],[],0
8223,Oh shit,34683795,Anonymous,2/16/2024,0:29:34,">>34682573please post a plot summary if you can! my sense is that its a lot better than most people here give it credit for bc aimee makes so many hons seethe (myself included), rly curious how it actually turned out","
please post a plot summary if you can! my sense is that its a lot better than most people here give it credit for bc aimee makes so many hons seethe (myself included), rly curious how it actually turned out",['>>34682573'],[],1
16525,/gaygen/ Imagining the smell e(...),34692708,Anonymous,2/16/2024,18:30:08,>>34692694they can be cute. Unless they are mixed with black then they are kinda mid,"
they can be cute. Unless they are mixed with black then they are kinda mid",['>>34692694'],[],0
11697,34687280,34687532,Anonymous,2/16/2024,10:57:10,>>346872801000 calorie deficit is extreme if you are calculating that based on your TDEE properly. On hrt you should be ideally maintaining weight for the first while and then gaining after a year or so. As long as you aren’t eating so little that you lower growth hormone and slow metabolism you will be okay. 500 deficit max for the first 3-4 years on hrt.,"
1000 calorie deficit is extreme if you are calculating that based on your TDEE properly. On hrt you should be ideally maintaining weight for the first while and then gaining after a year or so. As long as you aren’t eating so little that you lower growth hormone and slow metabolism you will be okay. 500 deficit max for the first 3-4 years on hrt.",['>>34687280'],[],1
16030,/clg/ Cis Lesbian General - To(...),34692676,Anonymous,2/16/2024,18:28:22,When will my ex stop plaguing my dreams?,When will my ex stop plaguing my dreams?,[],[],0
1905,are trans women mentally women(...),34679793,Anonymous,2/15/2024,18:33:09,">>34679725>trannies are traumatized men, there is nothing more to understandi could not have said this better myself","
>trannies are traumatized men, there is nothing more to understandi could not have said this better myself",['>>34679725'],[],1
10076,Messed up fetishes,34685359,Anonymous,2/16/2024,5:22:58,">>34685307We were childhood friend since middle school and we dated on and off in high school. We kind of became distant around college but we were still in contact. After college, we both got jobs in the same city so we could meet more often. This rekindled feelings for each other and we moved in together. We began to do more kinky stuff over the years. Then I got a high paying remoted job so they could quit there's. And that allowed me to get a bigger place. This allowed us to indulge in our kinky desires even more; to the dynamic we have today. We don't have a contract as we just know each other and our limits.","
We were childhood friend since middle school and we dated on and off in high school. We kind of became distant around college but we were still in contact. After college, we both got jobs in the same city so we could meet more often. This rekindled feelings for each other and we moved in together. We began to do more kinky stuff over the years. Then I got a high paying remoted job so they could quit there's. And that allowed me to get a bigger place. This allowed us to indulge in our kinky desires even more; to the dynamic we have today. We don't have a contract as we just know each other and our limits.",['>>34685307'],[],0
13885,/mmg/-manmoder general,34689568,Anonymous,2/16/2024,14:03:53,>>34689401that's how. they are peasants and not worth my love same goes to you either you get it or you don't.,"
that's how. they are peasants and not worth my love same goes to you either you get it or you don't.",['>>34689401'],[],0
17253,chasergen,34693437,Anonymous,2/16/2024,19:25:46,">>34693410>What kind of pics do trans girls like?what you posted, that's a good teaser :PI wanna get down on my knees and take that thing out","
>What kind of pics do trans girls like?what you posted, that's a good teaser :PI wanna get down on my knees and take that thing out",['>>34693410'],[],1
3974,My refractory period didn't go(...),34677416,Anonymous,2/15/2024,15:35:57,">>34677333Yes, but it's a lower quantity and it's clear","
Yes, but it's a lower quantity and it's clear",['>>34677333'],[],1
13438,Your boyfriend will transition,34689138,Anonymous,2/16/2024,13:22:37,>>34689090wait what does that have to do with needing enemas,"
wait what does that have to do with needing enemas",['>>34689090'],[],1
11712,34687443,34687443,Anonymous,2/16/2024,10:47:05,Do any other trans girls here like biting and being bitten?,Do any other trans girls here like biting and being bitten?,[],[],1
18983,How do you voice train if you'(...),34694990,Anonymous,2/16/2024,22:06:18,>>34693563Find a band/orchestra practice room (on campus? probably? near the music stuff) and voice train there.,"
Find a band/orchestra practice room (on campus? probably? near the music stuff) and voice train there.",['>>34693563'],[],1
1499,music thread,34667398,Anonymous,2/14/2024,20:14:49,>>34667062>cism biace but yea,"
>cism biace but yea",['>>34667062'],[],1
17150,/ftmg/ - tranny hater edition,34692578,tranny hater,2/16/2024,18:19:58,>>34692560*he,"
*he",['>>34692560'],[],1
10758,34685978,34686529,Anonymous,2/16/2024,8:44:51,"What the fuck.Is people so terminally online that they really think voice is more important than make up?I think there are degrees on both, you should try to keep them balanced but trust me nobody is going to think a girl is a boy just because of her voice, only another trans would be fixated on stuff like that, normies are easy to deceive","What the fuck.Is people so terminally online that they really think voice is more important than make up?I think there are degrees on both, you should try to keep them balanced but trust me nobody is going to think a girl is a boy just because of her voice, only another trans would be fixated on stuff like that, normies are easy to deceive",[],[''],1
2620,/chasergen/ honeymoon edition,34678977,Anonymous,2/15/2024,17:37:33,">>34678969i beg to differ, i'm aware of my issues but it doesnt change the fact that i am","
i beg to differ, i'm aware of my issues but it doesnt change the fact that i am",['>>34678969'],[],0
6046,/gaygen/ - flower edition,34682118,Anonymous,2/15/2024,21:39:21,>>34682056>i'm retarded,"
>i'm retarded",['>>34682056'],[],0
7084,chasergen,34682844,Anonymous,2/15/2024,22:40:43,>>34682822You have some tranner legs fr. Like half male half fem.,"
You have some tranner legs fr. Like half male half fem.",['>>34682822'],[],1
9660,/Chasergen/ - Art Edition,34685115,Anonymous,2/16/2024,4:28:25,>>34685101I'm imagining writing in a journal while also walking while also peeking to the sides being extra alert to your surroundings all in one idle animation loop.,"
I'm imagining writing in a journal while also walking while also peeking to the sides being extra alert to your surroundings all in one idle animation loop.",['>>34685101'],[],0
12889,How do Boymoders masturbate?,34688447,Anonymous,2/16/2024,12:19:11,">>34684151Using anal toys is fun, but I’m too low sex drive to ever do it, normally I just rub the head of my dick through the foreskin","
Using anal toys is fun, but I’m too low sex drive to ever do it, normally I just rub the head of my dick through the foreskin",['>>34684151'],[],1
12973,UK,34688183,Anonymous,2/16/2024,11:57:45,>>34687834Can tell you’re an AMAB just from that,"
Can tell you’re an AMAB just from that",['>>34687834'],[],0
140,/bigen/ - Bisexual General,34614933,Anonymous,2/10/2024,20:18:54,please post blottoms and discuss the QOTT thank you,please post blottoms and discuss the QOTT thank you,[],[],0
2141,/mmg/-manmoder general,34663615,Anonymous,2/14/2024,15:22:19,>>34663607make it and leave,"
make it and leave",['>>34663607'],[],1
15480,/gaygen/ - canada edition,34691234,Anonymous,2/16/2024,16:25:03,">>34691154i didn't post those hoes, i just pointed out your jealous seething lmao. (also leave me out of your scat fetish please)","
i didn't post those hoes, i just pointed out your jealous seething lmao. (also leave me out of your scat fetish please)",['>>34691154'],[],0
8625,/lesgen/ - healing the politic(...),34684137,Anonymous,2/16/2024,1:32:59,>>34684120you think jannies get paid?,"
you think jannies get paid?",['>>34684120'],[],1
8860,you DO know how to cum from ni(...),34684260,Anonymous,2/16/2024,1:54:50,>>34683837how could i maybe do that if its okay to ask? it sounds alot nicer than how i normally do that sorta stuff,"
how could i maybe do that if its okay to ask? it sounds alot nicer than how i normally do that sorta stuff",['>>34683837'],[],0
13022,this board is a chaser’s parad(...),34688875,Anonymous,2/16/2024,13:02:42,>>34688856I'd fuck you. but I gotta see your body to make a more accurate statement. Be my gf anyway thot. tall white guy,"
I'd fuck you. but I gotta see your body to make a more accurate statement. Be my gf anyway thot. tall white guy",['>>34688856'],[],0
6334,34681470,34681742,Anonymous,2/15/2024,21:10:24,">>34681690The biggest difference there isn't the frequency, but the type of sexAnal sex spreads STDs much, much easier, due to micro tears in the rectum during anal allowing for easier transmission","
The biggest difference there isn't the frequency, but the type of sexAnal sex spreads STDs much, much easier, due to micro tears in the rectum during anal allowing for easier transmission",['>>34681690'],[],0
561,What are the most important fa(...),34680848,Anonymous,2/15/2024,19:54:09,>>34680774Glad you like it>>34680820Oops. Can you post one cause I can't find one>>34680827Haha. I completely forgot. Your on it now sorry.,"
Glad you like it
Oops. Can you post one cause I can't find one
Haha. I completely forgot. Your on it now sorry.","['>>34680774', '>>34680820', '>>34680827']",[],0
1731,/frengen/ - menhera edition,34625500,Anonymous,2/11/2024,16:52:35,>>34625383>USHate being born in europe,"
>USHate being born in europe",['>>34625383'],[],0
14984,34690336,34690966,Anonymous,2/16/2024,15:59:19,">>34690833EXACTLY fuck, every time some rightoid appeals to some imagined lost glory pedo days I want to bash their tiny head in.Oh aye, the height of rome where they also had little electric boxes that could create a photorealistic video based on a sentence? Oh no that’s just us in the dark, horrible times where infant/child mortality is so low that the difference in average lifespan makes people mistakenly think old people didn’t use to exist? Yes, we are definitely in the “bad timeline” because you failed out of college. Fuckwits.","
EXACTLY fuck, every time some rightoid appeals to some imagined lost glory pedo days I want to bash their tiny head in.Oh aye, the height of rome where they also had little electric boxes that could create a photorealistic video based on a sentence? Oh no that’s just us in the dark, horrible times where infant/child mortality is so low that the difference in average lifespan makes people mistakenly think old people didn’t use to exist? Yes, we are definitely in the “bad timeline” because you failed out of college. Fuckwits.",['>>34690833'],[''],0
2017,34672861,34672992,Anonymous,2/15/2024,9:07:11,>>34672963yeah. what man doesn't?,"
yeah. what man doesn't?",['>>34672963'],[],0
17612,I wish I was a cis woman,34693451,Anonymous,2/16/2024,19:26:37,>>34693417ik should i stick to wearing mens clothes then,"
ik should i stick to wearing mens clothes then",['>>34693417'],[],1
10778,/Chasergen/ - Art Edition,34686541,Anonymous,2/16/2024,8:47:03,>>34685844Have me flinching when you slap it against my face,"
Have me flinching when you slap it against my face",['>>34685844'],[],0
7849,GOOD TRANSFEM MUSIC,34683414,Anonymous,2/15/2024,23:41:23,>>34677286>>34682990>>34682990>>34682990>>34682990>>34682990,"





","['>>34677286', '>>34682990', '>>34682990', '>>34682990', '>>34682990', '>>34682990']",[],1
3348,/gaygen/,34680028,Anonymous,2/15/2024,18:50:42,">>34679715>Hair plugs are fine, diet estrogen cream/pills is an ick personallyNot an either-or thing unless you have very little hair loss to begin with","
>Hair plugs are fine, diet estrogen cream/pills is an ick personallyNot an either-or thing unless you have very little hair loss to begin with",['>>34679715'],[],1
1281,34678623,34679132,Anonymous,2/15/2024,17:46:48,>>34678623top right>>34678804boxes don't really have rothbardians.,"
top right
boxes don't really have rothbardians.","['>>34678623', '>>34678804']",[],0
9296,/mtfg/ - Revachol edition,34684149,MotokoAnon,2/16/2024,1:35:22,">>34684144>if you two haven't met irl, you're not datingI only date IRL, we've met many times.","
>if you two haven't met irl, you're not datingI only date IRL, we've met many times.",['>>34684144'],[],0
15594,/lesgen/ - dream house edition,34690688,lagoloaf,2/16/2024,15:40:00,">>34690631It was the first video that came up when I googled it. Not many people think to look up bunnies twerking, but it’s the only way to describe what their hind is up to while eating banana.","
It was the first video that came up when I googled it. Not many people think to look up bunnies twerking, but it’s the only way to describe what their hind is up to while eating banana.",['>>34690631'],[],0
